Name,Platform_S,n_platforms,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,isSeries
 Tales of Xillia 2,PS3,1,2012,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71,59,79,216,Bandai Namco Games,T,1
.hack//Infection Part 1,PS2,1,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75,35,85,60,CyberConnect2,T,1
.hack//Mutation Part 2,PS2,1,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76,24,89,81,CyberConnect2,T,1
.hack//Outbreak Part 3,PS2,1,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,87,19,CyberConnect2,T,1
[Prototype 2],PS3,1,2012,Action,Activision,0.36,0.28,0,0.1,0.74,79,39,68,179,Radical Entertainment,M,1
[Prototype],PS3,1,2009,Action,Activision,0.65,0.4,0,0.19,1.24,79,53,77,308,Radical Entertainment,M,1
007 Racing,PS,1,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53,51,16,46,14,Eutechnyx,T,1
007: Quantum of Solace,PS3,1,2008,Action,Activision,0.43,0.51,0.02,0.19,1.14,65,42,66,47,Treyarch,T,1
007: The World is not Enough,PS,1,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,61,11,67,44,Black Ops Entertainment,T,1
18 Wheeler: American Pro Trucker,PS2,1,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,61,11,57,18,Acclaim Studios Cheltenham,E,0
187: Ride or Die,PS2,1,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,52,33,68,12,Ubisoft,M,0
2002 FIFA World Cup,PS2,1,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73,19,56,18,EA Sports,E,1
2010 FIFA World Cup South Africa,PS3/PSP,2,2010,Sports,Electronic Arts,0.39,0.86,0.1,0.34,1.69,75.5,56,76,57,EA Canada,E,1
2014 FIFA World Cup Brazil,PS3,1,2014,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73,33,43,87,EA Canada,E,1
24: The Game,PS2,1,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,62,53,82,40,SCE Studio Cambridge,M,0
25 to Life,PS2,1,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,39,23,49,46,"Ritual Entertainment, Avalanche Software",M,0
300: March to Glory,PSP,1,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,55,31,71,14,Collision Studios,M,0
3D Dot Game Heroes,PS3,1,2009,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77,66,80,96,Silicon Studio,E10+,0
50 Cent: Blood on the Sand,PS3,1,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72,37,72,57,Swordfish Studios,M,1
50 Cent: Bulletproof,PS2,1,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,47,21,66,129,Genuine Games,M,1
7 Days to Die,PS4,1,2016,Action,Telltale Games,0.04,0.08,0,0.02,0.14,45,16,59,140,The Fun Pimps Entertainment LLC,M,0
AC/DC LIVE: Rock Band Track Pack,PS3,1,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,60,12,53,14,Harmonix Music Systems,T,1
Ace Combat 04: Shattered Skies,PS2,1,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89,22,91,95,Namco,E,1
Ace Combat 2,PS,1,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83,10,82,22,Namco,T,1
Ace Combat 5: The Unsung War,PS2,1,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,91,81,Namco,T,1
Ace Combat X: Skies of Deception,PSP,1,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,26,83,30,Project Aces,T,1
Ace Combat Zero: The Belkan War,PS2,1,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,45,84,55,Namco,T,1
Ace Combat: Assault Horizon,PS3,1,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77,28,67,82,Project Aces,T,1
Ace Combat: Joint Assault,PSP,1,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,71,30,72,12,Project Aces,T,1
Activision Anthology,PS2,1,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,75,13,77,6,Contraband Entertainment,E,0
Aedis Eclipse: Generation of Chaos,PSP,1,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02,62,20,65,11,"Neverland, Idea Factory",E10+,0
Aegis of Earth: Protonovus Assault,PS4,1,2016,Action,PQube,0.02,0,0,0,0.03,57,11,78,9,Acquire,T,0
Aeon Flux,PS2,1,2005,Action,THQ,0.02,0.02,0,0.01,0.04,66,19,58,9,Terminal Reality,T,0
Aero Elite: Combat Academy,PS2,1,2002,Simulation,Sega,0.04,0.03,0,0.01,0.07,64,18,70,8,Sega AM2,E,1
Afrika,PS3,1,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,63,12,62,34,Rhino Studios,E10+,0
Afro Samurai,PS3,1,2009,Action,Atari,0.12,0.05,0,0.03,0.2,65,52,61,27,"Namco Bandai Games America, Namco Bandai Games",M,0
Agatha Christie's The ABC Murders,PS4,1,2016,Adventure,Microids,0.01,0.01,0,0,0.03,67,17,62,12,Microids,T,1
Aggressive Inline,PS2,1,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35,85,31,87,14,"Z-Axis, Ltd.",T,0
Airblade,PS2,1,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,70,18,58,12,Criterion Games,T,0
